GENENAME;MENTRETARD;DEVDELAY
PCBD1;0;1
PCCA;1;1
PCCB;1;1
PCDH19;0;1
PCGF2;0;1
PCNT;0;1
PCYT1A;0;1
PDCD10;0;1
PDE4D;0;1
PDE6G;0;1
PDE6H;0;1
PDGFRB;0;1
PDHA1;1;1
PDHX;1;1
PDSS1;0;1
PDSS2;0;1
PECR;1;1
PEPD;1;1
PET100;0;1
PEX1;1;1
PEX10;1;1
PEX12;1;1
PEX13;1;1
PEX14;0;1
PEX16;1;1
PEX19;1;1
PEX2;1;1
PEX26;0;1
PEX3;1;1
PEX5;1;1
PEX6;1;1
PEX7;1;1
PGAP2;1;1
PGAP3;1;1
PGK1;1;1
PGM3;0;1
PHACTR1;1;0
PHC1;0;1
PHF21A;0;1
PHF6;1;1
PHF8;1;1
PHGDH;0;1
PHIP;1;1
PHOX2B;0;1
PIEZO2;0;1
PIGA;0;1
PIGL;0;1
PIGN;0;1
PIGO;1;1
PIGV;1;1
PIK3CA;0;1
PIK3R1;0;1
PIK3R2;0;1
PIP5K1C;0;1
PITX1;0;1
PITX2;0;1
PITX3;0;1
PKHD1;0;1
PLA2G6;0;1
PLCB1;0;1
PLCB4;0;1
PLCE1;0;1
PLCG2;0;1
PLEC;0;1
PLK4;0;1
PLOD1;0;1
PLOD2;0;1
PLOD3;0;1
PLP;1;0
PLP1;1;1
PLXND1;0;1
PMM2;1;1
PMS2;0;1
PNKP;0;1
PNPLA1;0;1
PNPLA2;0;1
PNPT1;0;1
POC1A;0;1
POC1B;0;1
POGZ;1;1
POLD1;0;1
POLR1C;0;1
POLR1D;0;1
POLR3A;0;1
POLR3B;1;1
POMGNT1;1;1
POMGNT2;0;1
POMP;0;1
POMT1;1;1
POMT2;1;1
PORCN;1;1
POU1F1;1;1
PPOX;1;0
PPP2R1A;1;1
PPP2R5D;1;1
PPT1;1;1
PQBP1;1;1
PREPL;0;1
PRKAR1A;0;1
PRKCG;1;0
PRKRA;1;0
PRMT9;1;1
PROP1;0;1
PROX2;1;0
PRPS1;1;1
PRRT2;1;1
PRRX1;0;1
PRS;1;0
PRSS12;1;1
PRSS56;0;1
PSAP;1;1
PSAT1;0;1
PSMA7;1;0
PSMB8;0;1
PSPH;0;1
PTCH1;1;1
PTCH2;1;0
PTCHD1;0;1
PTDSS1;0;1
PTEN;1;1
PTF1A;0;1
PTH;0;1
PTH1R;0;1
PTHLH;0;1
PTPN11;1;1
PTPN14;0;1
PTPRF;0;1
PTPRQ;0;1
PTS;1;1
PUF60;0;1
PURA;1;1
PVRL1;1;1
PVRL4;0;1
PXDN;0;1
PYCR1;0;1
PYGL;0;1
QARS;0;1
QDPR;1;1
QKI;0;1
RAB18;0;1
RAB23;0;1
RAB39B;1;1
RAB3GAP1;1;1
RAB3GAP2;0;1
RABL6;1;1
RAD21;0;1
RAD50;0;1
RAD51;0;1
RAD51C;0;1
RAF1;1;1
RAI1;1;1
RALGDS;1;1
RANBP2;0;1
RAPGEF1;1;0
RARB;0;1
RARS2;0;1
RASA1;0;1
RAX;0;1
RBM10;0;1
RBM28;0;1
RBM8A;0;1
RBPJ;0;1
RECQL4;0;1
RELN;1;1
RENS2;1;0
RET;0;1
RFT1;0;1
RFX6;0;1
RGS7;1;1
RIPK4;0;1
RIT1;0;1
RMND1;0;1
RMRP;0;1
RNASEH2A;0;1
RNASEH2B;0;1
RNASEH2C;0;1
RNASET2;0;1
RNF135;0;1
RNF168;0;1
RNU4ATAC;0;1
ROBO3;0;1
ROGDI;0;1
ROR2;0;1
RPE65;0;1
RPGRIP1;0;1
RPGRIP1L;0;1
RPL10;1;0
RPS19;0;1
RPS6KA3;1;1
RRAS;0;1
RSPH1;0;1
RSPO4;0;1
RTEL1;0;1
RTTN;0;1
RUNX2;0;1
RYR1;0;1
SACS;0;1
SALL1;0;1
SALL4;0;1
SAMHD1;0;1
SAR1B;1;0
SATB2;1;1
SBDS;0;1
SC5D;1;1
SCAPER;1;1
SCARF2;0;1
SCN11A;0;1
SCN1A;0;1
SCN1B;0;1
SCN2A;1;1
SCN4A;0;1
SCN8A;1;1
SCO1;0;1
SCO2;1;1
SCRIB;0;1
SDCCAG8;0;1
SDHA;1;1
SDHAF1;0;1
SEC23A;0;1
SEC23B;0;1
SECISBP2;0;1
SERPINB6;0;1
SETBP1;1;1
SETD5;1;1
SF3B4;0;1
SGSH;1;1
SH3PXD2B;0;1
SHANK1;0;1
SHANK2;1;1
SHANK3;1;1
SHH;1;1
SHOC2;1;1
SHOX;0;1
SHROOM4;1;0
SIL1;0;1
SIX1;0;1
SIX3;1;1
SIX5;0;1
SIX6;0;1
SKI;0;1
SKIV2L;0;1
SLC12A1;1;0
SLC12A6;1;1
SLC13A5;0;1
SLC16A2;1;1
SLC17A5;1;1
SLC19A3;0;1
SLC22A5;0;1
SLC24A1;0;1
SLC24A4;0;1
SLC25A15;1;1
SLC25A19;0;1
SLC25A20;0;1
SLC25A22;0;1
SLC25A38;0;1
SLC26A2;0;1
SLC27A4;0;1
SLC2A1;1;1
SLC2A10;0;1
SLC2A2;0;1
SLC31A1;1;1
SLC33A1;0;1
SLC35A1;0;1
SLC35A2;0;1
SLC35C1;1;1
SLC35D1;0;1
SLC39A13;0;1
SLC3A1;1;0
SLC46A1;0;1
SLC4A1;0;1
SLC4A11;0;1
SLC4A4;1;1
SLC52A3;0;1
SLC5A5;1;1
SLC6A1;1;0
SLC6A17;1;0
SLC6A3;0;1
SLC6A5;0;1
SLC6A8;1;1
SLC7A7;1;0
SLC9A6;1;1
SLC9A9;0;1
SLX4;0;1
SMAD2;0;1
SMAD3;0;1
SMAD4;0;1
SMARCA2;0;1
SMARCA4;1;1
SMARCAL1;0;1
SMARCB1;1;1
SMARCE1;0;1
SMC1A;1;1
SMC3;0;1
SMCHD1;0;1
SMOC1;0;1
SMOC2;0;1
SMPD1;1;1
SMS;1;1
SNAP29;0;1
SNIP1;0;1
SNRPB;0;1
SNRPE;0;1
SNX14;0;1
SNX3;0;1
SOBP;1;1
SOS1;1;1
SOX10;1;1
SOX11;1;1
SOX17;0;1
SOX2;0;1
SOX3;1;1
SOX9;0;1
SPAG1;0;1
SPECC1L;0;1
SPEG;0;1
SPG11;0;1
SPN;1;0
SPR;0;1
SPRED1;1;1
SPRTN;0;1
SPTAN1;0;1
SPTLC2;0;1
SRCAP;0;1
SRD5A3;1;1
SRGAP3;1;1
SRPX2;1;1
SRY;0;1
ST14;0;1
ST3GAL2;1;0
ST3GAL3;1;1
ST3GAL5;0;1
STAG1;1;0
STAMBP;0;1
STAR;0;1
STAT1;0;1
STIL;0;1
STIM1;0;1
STRA6;0;1
STS;0;1
STT3A;0;1
STT3B;0;1
STXBP1;1;1
SUCLG1;0;1
SUMF1;0;1
SUMO1;0;1
SUOX;1;0
SURF1;1;1
SYN1;1;1
SYNCRIP;1;0
SYNE1;0;1
SYNGAP1;1;1
SYP;1;1
SZT2;0;1
TAB2;0;1
TAC3;0;1
TACO1;0;1
TACR3;0;1
TAF2;1;1
TANC2;1;0
TAT;1;1
TAZ;0;1
TBC1D24;0;1
TBCE;1;1
TBL1XR1;0;1
TBR1;0;1
TBX1;0;1
TBX20;0;1
TBX22;0;1
TBX3;0;1
TBX4;0;1
TBX5;0;1
TBXAS1;0;1
TCF12;0;1
TCF4;1;1
TCN2;1;0
TCOF1;0;1
TCTN1;0;1
TCTN2;0;1
TCTN3;0;1
TDGF1;1;0
TDRD7;0;1
TECPR2;0;1
TECR;1;0
TECTA;0;1
TEK;0;1
TFAP2A;0;1
TFAP2B;0;1
TG;1;0
TGFB1;0;1
TGFB2;0;1
TGFB3;0;1
TGFBR1;0;1
TGFBR2;0;1
TGIF;1;0
TGIF1;0;1
TH;1;1
THAP1;0;1
THRA;0;1
THRB;1;0
TIMM8A;1;1
TK2;0;1
TLL1;0;1
TM4SF20;0;1
TMCO1;1;1
TMEM114;0;1
TMEM135;1;1
TMEM165;0;1
TMEM216;0;1
TMEM237;0;1
TMEM5;0;1
